rating,genre,theater_date,dvd_date,runtime,year
PG,Comedy|Kids and Family,"Mar 19, 2010","Aug 3, 2010",93 minutes,2010
R,Comedy|Drama,"Jun 8, 2001","Jan 15, 2002",115 minutes,2001
NR,Classics|Western|Romance,"Oct 1, 1958","Mar 1, 1991",100 minutes,1958
PG-13,Drama|Sports and Fitness,"Dec 11, 2009","May 18, 2010",134 minutes,2009
PG-13,Comedy,"Sep 3, 2003","Feb 17, 2004",98 minutes,2003
PG-13,Action and Adventure|Drama,"Dec 8, 2000","May 22, 2001",124 minutes,2000
PG,Comedy|Kids and Family|Science Fiction and Fantasy,"Jul 24, 1992","Aug 30, 2005",87 minutes,1992
NR,Drama|Television,"Mar 3, 1996","Jun 1, 2004",167 minutes,1996
R,Horror|Mystery and Suspense,"Feb 2, 2001","Jul 24, 2001",96 minutes,2001
NR,Classics|Drama|Faith and Spirituality,"Jan 21, 1943","Nov 10, 1998",106 minutes,1943
NR,Classics|Comedy,"Jan 1, 1945","Mar 5, 2002",90 minutes,1945
NR,Art House and International|Horror,"Jan 29, 2011","Apr 26, 2011",77 minutes,2011
R,Drama|Mystery and Suspense,"Jun 1, 1992","Dec 3, 2002",99 minutes,1992
R,Drama|Romance,"Sep 28, 1994","Jan 18, 2000",119 minutes,1994
PG,Action and Adventure|Comedy|Kids and Family,"Jan 16, 2009","Apr 28, 2009",100 minutes,2009
NR,Classics|Drama|Musical and Performing Arts,"Sep 4, 1942","Nov 1, 2005",98 minutes,1942
PG,Action and Adventure|Comedy|Drama|Musical and Performing Arts|Romance,"Oct 18, 1991","Dec 19, 1991",91 minutes,1991
G,Action and Adventure|Kids and Family|Science Fiction and Fantasy,"Dec 8, 1988","Oct 24, 2006",101 minutes,1988
R,Comedy|Drama,"Jun 8, 2012","Oct 30, 2012",86 minutes,2012
NR,Drama|Horror|Mystery and Suspense|Television,"Sep 29, 1996","Feb 4, 2003",94 minutes,1996
NR,Drama,"Jul 12, 2013","Jan 12, 2015",188 minutes,2013
R,Art House and International|Comedy|Drama|Romance,"Jul 29, 1983","Mar 4, 2003",95 minutes,1983
NR,Classics|Comedy|Drama|Kids and Family,"Mar 27, 1963","Jun 1, 2004",117 minutes,1963
PG-13,Action and Adventure|Drama|Mystery and Suspense,"Apr 30, 1999","Nov 23, 1999",113 minutes,1999
PG-13,Comedy,"Apr 22, 2005","Jul 26, 2005",98 minutes,2005
R,Action and Adventure|Art House and International|Drama,"Jun 1, 1980","Nov 20, 2001",104 minutes,1980
NR,Drama,"Jan 13, 2017","Mar 7, 2017",93 minutes,2017
G,Classics|Comedy|Drama|Musical and Performing Arts,"May 3, 1944","Feb 6, 2007",126 minutes,1944
R,Drama|Mystery and Suspense,"Jan 1, 1994","Feb 5, 2002",110 minutes,1994
PG-13,Action and Adventure|Art House and International|Comedy,"Dec 14, 1985","Nov 14, 2006",90 minutes,1985
NR,Art House and International|Classics|Horror|Science Fiction and Fantasy,"Mar 4, 1922","Oct 22, 1997",63 minutes,1922
R,Horror|Science Fiction and Fantasy,"May 6, 1994","Oct 12, 1994",91 minutes,1994
PG-13,Drama|Romance,"Sep 2, 2016","Jan 24, 2017",132 minutes,2016
R,Drama|Musical and Performing Arts,"Sep 23, 2000","Mar 20, 2001",137 minutes,2000
PG-13,Comedy,"Apr 3, 2009","Jul 28, 2009",79 minutes,2009
NR,Classics|Drama|Musical and Performing Arts,"Dec 31, 1950","Feb 15, 2005",98 minutes,1950
NR,Classics|Comedy,"Feb 9, 1933","Apr 22, 2008",65 minutes,1933
PG-13,Drama|Horror|Mystery and Suspense|Romance,"Oct 18, 2002","Mar 4, 2003",115 minutes,2002
PG,Action and Adventure|Art House and International|Classics|Drama,"Jun 21, 1966","May 20, 2003",156 minutes,1966
PG,Classics|Drama,"Jun 1, 1957","Dec 13, 2011",147 minutes,1957
G,Action and Adventure|Classics|Comedy|Musical and Performing Arts|Romance,"Jan 1, 1962","Apr 26, 2005",124 minutes,1962
NR,Documentary|Musical and Performing Arts,"Jul 2, 1994","Apr 26, 2005",54 minutes,1994
G,Classics|Drama,"Oct 15, 1965","May 31, 2005",113 minutes,1965
NR,Drama|Television,"Apr 6, 1997","Dec 7, 2004",93 minutes,1997
R,Action and Adventure|Horror,"Oct 16, 1998","Mar 23, 1999",89 minutes,1998
PG,Comedy|Drama|Musical and Performing Arts,"Aug 14, 2009","Mar 16, 2010",111 minutes,2009
NR,Comedy,"Oct 11, 1957","Mar 28, 2000",85 minutes,1957
PG,Action and Adventure|Drama|Science Fiction and Fantasy,"Nov 18, 1994","Nov 17, 1998",117 minutes,1994
PG-13,Comedy|Horror,"Jan 19, 1990","Apr 28, 1998",96 minutes,1990
PG-13,Action and Adventure|Drama,"Sep 29, 2006","Jan 23, 2007",15 minutes,2006
R,Action and Adventure|Classics|Drama,"May 5, 2000","Nov 21, 2000",171 minutes,2000
NR,Classics|Western,"May 10, 1934","Jun 18, 2006",59 minutes,1934
NR,Action and Adventure|Drama|Science Fiction and Fantasy|Television,"May 12, 1996","Feb 8, 2011",85 minutes,1996
R,Art House and International|Comedy|Drama|Musical and Performing Arts,"Jan 30, 2007","Feb 24, 2009",120 minutes,2007
NR,Classics|Comedy|Musical and Performing Arts|Romance,"Mar 22, 1932","Feb 12, 2008",80 minutes,1932
R,Drama|Mystery and Suspense,"Nov 10, 1999","Jun 13, 2000",100 minutes,1999
PG-13,Action and Adventure|Art House and International|Comedy,"Feb 9, 1980","Dec 8, 1998",93 minutes,1980
R,Drama|Mystery and Suspense,"Sep 10, 1999","Feb 22, 2000",94 minutes,1999
R,Action and Adventure|Drama,"Jun 23, 2006","Oct 10, 2006",97 minutes,2006
R,Art House and International|Drama|Horror|Mystery and Suspense|Science Fiction and Fantasy,"Jun 28, 2013","Oct 29, 2013",118 minutes,2013
R,Drama|Romance,"Nov 20, 2015","Mar 15, 2016",118 minutes,2015
R,Horror|Mystery and Suspense,"Apr 6, 1990","Aug 28, 2001",90 minutes,1990
PG,Classics|Drama|Mystery and Suspense|Science Fiction and Fantasy,"May 9, 1973","Aug 5, 2003",97 minutes,1973
R,Horror,"Aug 19, 1988","Aug 21, 2001",93 minutes,1988
R,Horror|Mystery and Suspense,"Aug 30, 1991","Oct 7, 2003",90 minutes,1991
NR,Classics|Comedy|Drama|Musical and Performing Arts,"Sep 2, 1950","Apr 7, 2009",98 minutes,1950
R,Horror,"Apr 11, 2003","Aug 12, 2003",88 minutes,2003
R,Drama|Mystery and Suspense,"Feb 8, 1991","Sep 2, 2003",99 minutes,1991
R,Comedy,"Sep 21, 2007","Jan 15, 2008",101 minutes,2007
R,Horror|Mystery and Suspense|Science Fiction and Fantasy,"Aug 27, 1999","Feb 8, 2000",110 minutes,1999
R,Comedy|Horror|Musical and Performing Arts,"May 5, 1983","Nov 21, 2000",91 minutes,1983
R,Drama,"Nov 25, 2005","Oct 31, 2006",110 minutes,2005
PG,Action and Adventure|Drama|Kids and Family,"Jan 1, 1994","Mar 12, 2002",94 minutes,1994
R,Action and Adventure|Drama|Western,"Jan 29, 2016","Apr 26, 2016",97 minutes,2016
NR,Action and Adventure|Art House and International|Comedy,"Dec 31, 1991","Mar 28, 2006",101 minutes,1991
R,Comedy,"Dec 14, 1979","Jul 26, 2005",99 minutes,1979
NR,Classics|Drama,"Jan 1, 1966","Feb 3, 2009",128 minutes,1966
R,Drama|Science Fiction and Fantasy|Romance,"Nov 16, 1994","Sep 24, 2002",98 minutes,1994
R,Comedy|Western,"May 30, 2014","Oct 7, 2014",116 minutes,2014
NR,Horror,"Jul 8, 2009","Jul 27, 2010",98 minutes,2009
NR,Mystery and Suspense,"Jul 1, 2016","Jul 1, 2016",81 minutes,2016
PG,Action and Adventure|Comedy|Mystery and Suspense,"Mar 1, 1980","Jun 17, 2008",94 minutes,1980
R,Comedy,"Mar 2, 2012","May 8, 2012",94 minutes,2012
PG-13,Action and Adventure|Documentary|Science Fiction and Fantasy|Special Interest|Western,"Apr 1, 1994","Dec 14, 1994",93 minutes,1994
NR,Classics|Drama,"Dec 31, 1960","Jan 1, 1998",85 minutes,1960
R,Action and Adventure|Drama,"Jul 28, 2006","Dec 5, 2006",132 minutes,2006
R,Action and Adventure|Art House and International|Drama|Faith and Spirituality,"Sep 5, 1991","Jul 7, 1998",101 minutes,1991
NR,Classics|Horror,"Mar 18, 1964","Oct 25, 2005",87 minutes,1964
PG-13,Drama,"Oct 27, 1989","Apr 22, 2003",100 minutes,1989
PG,Action and Adventure|Classics|Comedy|Drama,"Jun 23, 1970","Aug 1, 2000",143 minutes,1970
PG-13,Action and Adventure|Drama,"Sep 1, 2006","Feb 20, 2007",95 minutes,2006
PG-13,Drama,"Aug 13, 2010","Nov 23, 2010",133 minutes,2010
PG-13,Drama|Mystery and Suspense,"Mar 12, 2004","Jun 22, 2004",95 minutes,2004
R,Action and Adventure|Drama|Mystery and Suspense,"Jul 30, 1993","Jun 20, 2000",129 minutes,1993
R,Comedy|Drama,"Mar 9, 2012","Jul 17, 2012",107 minutes,2012
R,Drama|Science Fiction and Fantasy,"Jun 25, 1982","Aug 27, 1997",114 minutes,1982
NR,Classics|Horror|Mystery and Suspense|Science Fiction and Fantasy,"Nov 5, 1956","Jul 26, 2004",90 minutes,1956
NR,Classics|Documentary|Drama|Romance,"Jul 29, 1965","Dec 2, 2003",52 minutes,1965
PG,Action and Adventure|Western,"Nov 23, 1979","Jul 10, 1992",111 minutes,1979
PG-13,Art House and International|Drama,"Jan 1, 1993","Apr 1, 2008",120 minutes,1993
R,Drama,"Aug 16, 2013","Dec 17, 2013",105 minutes,2013
PG,Comedy|Kids and Family,"Jun 5, 1987","Apr 24, 2007",111 minutes,1987
R,Comedy,"Feb 7, 2013","Jun 4, 2013",111 minutes,2013
R,Horror,"Oct 16, 2015","Feb 9, 2016",119 minutes,2015
G,Action and Adventure|Western,"Jan 1, 1967","Jun 4, 2002",111 minutes,1967
PG-13,Comedy|Drama,"Dec 29, 2010","Jun 7, 2011",129 minutes,2010
NR,Action and Adventure|Classics|Drama|Mystery and Suspense,"Nov 4, 1964","Oct 31, 2000",83 minutes,1964
PG-13,Documentary|Musical and Performing Arts,"Jul 10, 2009","Jan 26, 2010",93 minutes,2009
G,Action and Adventure|Art House and International,"Apr 30, 1999","Jul 27, 1999",155 minutes,1999
R,Drama,"Dec 23, 1968","Apr 20, 2004",103 minutes,1968
R,Comedy|Drama,"Sep 28, 1994","Aug 13, 2002",124 minutes,1994
R,Art House and International|Drama|Special Interest,"Dec 21, 2011","Jul 10, 2012",142 minutes,2011
PG-13,Drama|Mystery and Suspense,"Oct 22, 2010","Mar 15, 2011",126 minutes,2010
PG-13,Comedy|Drama,"Mar 14, 2014","Jul 22, 2014",111 minutes,2014
PG-13,Drama|Romance,"Aug 11, 2000","Nov 14, 2001",103 minutes,2000
NR,Classics|Comedy,"Jan 1, 1956","Jun 5, 2007",95 minutes,1956
G,Kids and Family|Science Fiction and Fantasy,"Jun 1, 1998","Jan 11, 2005",83 minutes,1998
NR,Classics|Horror|Science Fiction and Fantasy,"Jun 13, 1953","Oct 21, 2003",80 minutes,1953
PG,Drama|Romance,"Jun 1, 1995","Jul 27, 1999",87 minutes,1995
NR,Art House and International|Comedy|Drama,"May 14, 2010","Jul 13, 2010",90 minutes,2010
NR,Classics|Comedy|Musical and Performing Arts,"Mar 4, 1943","Aug 21, 2003",95 minutes,1943
R,Comedy,"Apr 18, 2014","Aug 12, 2014",87 minutes,2014
R,Drama,"Mar 10, 2006","Jul 4, 2006",114 minutes,2006
PG,Action and Adventure|Animation|Comedy|Kids and Family,"Nov 20, 2009","Mar 9, 2010",91 minutes,2009
PG,Action and Adventure|Drama,"May 28, 1982","Mar 18, 2003",99 minutes,1982
NR,Horror,"Jan 12, 1966","May 26, 1998",90 minutes,1966
PG-13,Comedy|Horror,"Nov 19, 1993","Feb 22, 2000",94 minutes,1993
PG,Drama,"Sep 11, 1998","Jul 10, 2001",98 minutes,1998
PG-13,Drama,"May 8, 2015","Mar 1, 2016",100 minutes,2015
G,Art House and International|Drama,"Nov 3, 1953","Oct 30, 2003",134 minutes,1953
R,Action and Adventure|Mystery and Suspense,"Apr 1, 1989","Nov 18, 2003",97 minutes,1989
PG-13,Drama|Romance,"Nov 17, 2000","Apr 10, 2001",106 minutes,2000
R,Action and Adventure|Comedy|Drama|Mystery and Suspense,"Jan 1, 2002","Mar 18, 2003",87 minutes,2002
R,Comedy|Kids and Family|Television,"Jul 20, 2007","Aug 28, 2007",86 minutes,2007
PG-13,Comedy|Drama,"Feb 18, 2000","Jun 27, 2000",95 minutes,2000
R,Comedy|Drama|Musical and Performing Arts,"Aug 28, 2009","Dec 15, 2009",121 minutes,2009
R,Action and Adventure|Art House and International,"Apr 16, 2003","Jul 8, 2003",108 minutes,2003
NR,Art House and International|Drama,"Mar 15, 2002","Jun 21, 2005",83 minutes,2002
NR,Classics|Comedy|Romance,"Jan 19, 1942","Aug 27, 1997",114 minutes,1942
PG,Action and Adventure|Classics|Horror,"Jun 27, 1973","Jan 20, 2004",95 minutes,1973
NR,Action and Adventure|Classics|Western|Romance,"Apr 10, 1968","Jun 4, 2002",109 minutes,1968
G,Classics|Drama,"Jan 1, 1947","Apr 17, 2007",94 minutes,1947
PG-13,Action and Adventure|Science Fiction and Fantasy,"May 25, 2010","May 25, 2010",94 minutes,2010
R,Drama,"May 3, 1995","Apr 6, 2004",125 minutes,1995
PG,Classics|Drama,"Jul 7, 1960","Sep 23, 2014",146 minutes,1960
PG-13,Drama,"Mar 16, 2018","Jun 12, 2018",109 minutes,2018
R,Art House and International|Comedy|Drama,"Oct 22, 1986","Jun 5, 2001",113 minutes,1986
PG,Classics|Drama,"Sep 19, 1951","May 18, 1999",122 minutes,1951
R,Comedy|Drama|Mystery and Suspense,"Sep 20, 2002","Feb 11, 2003",103 minutes,2002
PG-13,Action and Adventure,"Feb 7, 1997","Jan 20, 1998",109 minutes,1997
R,Drama,"Dec 15, 1993","Mar 9, 2004",196 minutes,1993
PG,Action and Adventure|Art House and International|Drama|Kids and Family|Science Fiction and Fantasy,"Jul 1, 1987","Apr 24, 2001",95 minutes,1987
R,Comedy,"Jan 11, 2013","Apr 2, 2013",98 minutes,2013
R,Drama|Musical and Performing Arts,"Dec 5, 2008","Mar 10, 2009",108 minutes,2008
NR,Classics|Drama|Mystery and Suspense,"Jul 24, 1948","Sep 30, 2003",78 minutes,1948
R,Comedy|Science Fiction and Fantasy,"Jun 6, 1980","Feb 29, 2000",95 minutes,1980
PG,Art House and International|Drama,"Feb 12, 1982","May 1, 1991",98 minutes,1982
R,Art House and International|Drama,"Jan 16, 1998","Apr 10, 2001",120 minutes,1998
PG-13,Action and Adventure|Drama|Mystery and Suspense,"Feb 20, 2008","Jul 1, 2008",90 minutes,2008
PG-13,Mystery and Suspense|Science Fiction and Fantasy,"Aug 3, 2018","Oct 30, 2018",105 minutes,2018
NR,Classics|Drama|Musical and Performing Arts|Mystery and Suspense,"Jul 31, 1955","Jul 22, 2008",95 minutes,1955
NR,Documentary|Musical and Performing Arts,"Feb 1, 2013","Apr 7, 2014",108 minutes,2013
PG-13,Comedy,"Nov 7, 1997","Mar 31, 1998",92 minutes,1997
NR,Action and Adventure|Classics|Drama|Western,"Dec 29, 1948","May 24, 2005",60 minutes,1948
PG,Art House and International|Drama,"Dec 13, 2002","Apr 15, 2003",96 minutes,2002
PG-13,Action and Adventure|Drama,"Nov 16, 1990","Mar 18, 2003",105 minutes,1990
PG-13,Comedy,"Jun 29, 2001","Nov 27, 2001",70 minutes,2001
PG-13,Action and Adventure|Mystery and Suspense,"Jun 14, 2002","Jan 21, 2003",117 minutes,2002
NR,Art House and International|Comedy,"Jan 1, 1977","Dec 6, 2005",91 minutes,1977
NR,Mystery and Suspense,"Sep 10, 2010","Jun 26, 2012",90 minutes,2010
R,Action and Adventure,"Apr 4, 1981","Oct 19, 1999",100 minutes,1981
NR,Art House and International|Comedy|Drama,"Jan 12, 1977","Jan 8, 2002",108 minutes,1977
R,Classics|Drama,"Sep 11, 1968","Oct 17, 2006",120 minutes,1968
R,Action and Adventure|Horror|Science Fiction and Fantasy,"Jun 21, 1985","May 26, 1998",100 minutes,1985
PG-13,Action and Adventure|Science Fiction and Fantasy,"Jul 8, 2005","Dec 6, 2005",123 minutes,2005
R,Comedy|Drama|Mystery and Suspense,"Apr 19, 1991","Aug 8, 2000",102 minutes,1991
NR,Action and Adventure,"Jul 4, 1941","Mar 29, 2005",69 minutes,1941
R,Drama,"Jun 13, 1971","Feb 13, 2012",95 minutes,1971
NR,Action and Adventure|Classics|Comedy|Drama,"Dec 10, 1964","May 28, 2013",116 minutes,1964
R,Drama|Mystery and Suspense,"Nov 4, 1994","Sep 16, 2003",89 minutes,1994
PG,Action and Adventure|Animation|Science Fiction and Fantasy,"Mar 23, 2007","Aug 7, 2007",86 minutes,2007
PG,Action and Adventure|Kids and Family|Science Fiction and Fantasy,"Jul 31, 2009","Nov 3, 2009",86 minutes,2009
R,Action and Adventure|Horror,"Apr 21, 2006","Aug 22, 2006",125 minutes,2006
R,Drama|Horror|Mystery and Suspense,"Mar 27, 1981","Sep 25, 2007",85 minutes,1981
PG-13,Comedy|Romance,"Jun 10, 2011","Dec 20, 2011",94 minutes,2011
R,Comedy|Drama,"Sep 10, 1991","Mar 16, 1999",115 minutes,1991
PG,Action and Adventure|Comedy,"May 28, 1999","Aug 28, 2001",90 minutes,1999
R,Horror,"Nov 13, 1998","Aug 7, 2001",100 minutes,1998
PG,Drama,"Apr 30, 2004","Nov 30, 2004",128 minutes,2004
R,Mystery and Suspense|Romance,"Jan 1, 1971","Sep 18, 2001",102 minutes,1971
PG-13,Comedy|Drama,"Sep 14, 2001","Feb 19, 2002",115 minutes,2001
PG-13,Documentary|Musical and Performing Arts|Special Interest,"Jul 30, 2010","Oct 19, 2010",88 minutes,2010
PG-13,Action and Adventure,"Jan 17, 1986","May 22, 2001",117 minutes,1986
R,Comedy|Drama|Mystery and Suspense,"Apr 16, 1998","Nov 6, 2001",115 minutes,1998
NR,Art House and International|Drama|Romance,"Apr 9, 1986","Oct 12, 2004",121 minutes,1986
NR,Action and Adventure|Western|Romance,"Jul 17, 1946","Jun 9, 1998",91 minutes,1946
R,Art House and International|Documentary|Drama|Special Interest,"Oct 8, 2003","Jul 20, 2004",133 minutes,2003
R,Art House and International|Cult Movies|Drama,"Dec 31, 1976","Sep 12, 2006",110 minutes,1976
R,Comedy|Drama,"Jul 14, 2000","Jan 23, 2001",105 minutes,2000
PG,Action and Adventure|Animation|Comedy|Science Fiction and Fantasy,"Mar 11, 2011","Aug 9, 2011",88 minutes,2011
NR,Art House and International|Drama,"Aug 19, 2016","Jan 17, 2017",91 minutes,2016
NR,Comedy|Drama,"Apr 6, 2012","Sep 11, 2012",104 minutes,2012
PG,Drama,"Dec 9, 1987","Nov 6, 2001",153 minutes,1987
PG,Animation|Comedy|Kids and Family,"Nov 2, 2007","Mar 11, 2008",90 minutes,2007
R,Comedy,"Apr 11, 1990","Jul 6, 2004",91 minutes,1990
PG,Comedy|Kids and Family,"Dec 21, 2005","May 23, 2006",93 minutes,2005
R,Drama|Horror|Mystery and Suspense,"Nov 16, 1984","Jun 1, 2004",103 minutes,1984
G,Animation|Drama|Kids and Family|Science Fiction and Fantasy,"Jan 1, 1988","Mar 7, 2006",87 minutes,1988
PG-13,Comedy|Drama|Romance,"Dec 25, 1985","May 16, 2000",108 minutes,1985
NR,Art House and International|Drama|Mystery and Suspense,"Jul 23, 2002","Nov 11, 2003",88 minutes,2002
